sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10
gene1	5.96781412801558	6.08445351881406	4.15469424406185	5.9753862791385	5.19361237191853	4.98412557019248	5.1144659647985	4.71935121076761	4.35481743242319	3.27534404005226
gene2	4.02248639745807	6.05302039998281	5.34306567792721	5.21632606904527	6.95523640244274	6.90511589757843	5.25610821391169	4.49852414574983	5.12616181666508	4.99052045297831
gene3	4.40536704708956	3.4827619846315	3.20979128753584	3.46607165061801	3.85151294532678	3.65800544190614	4.99009747433205	5.49938540795012	5.53541132986444	5.53180757462362
gene4	4.0517506510411	4.03955553623235	2.49934342927542	4.35912160760616	NA	NA	NA	4.04894491770778	2.70611410638701	NA
gene5	4.87821083787955	6.78792050303236	6.78753440350171	3.25438719904625	5.27566588146253	4.77862376915927	4.5096634177286	5.37853571183903	5.72102942182067	5.36380600010143
gene6	5.08121444129605	3.65640139925147	5.02515196064	4.88041699234324	5.02767356795344	3.59949970775902	6.39195361778082	7.29541740105477	5.03120324523656	5.58593492982323
gene7	4.47291663466883	5.30268340246533	7.19080299318609	5.54882298794898	4.7807839843214	NA	3.29931228794993	5.36081302368465	5.620258554139	4.66399076617514
gene8	5.6983808763492	3.90434652536763	4.85904504211299	6.05066074071942	NA	5.39262622496121	4.05958735666286	NA	5.44832325215974	2.90333574360241
gene9	5.57211382096222	6.38147025474886	5.02606509862125	6.01187288764049	4.634697741032	5.56833424263344	3.21943735361487	2.87617596523368	3.44125509397219	5.89879859270594
gene10	4.43904818474006	4.42922858313103	5.68346536400957	3.27400039568021	4.33022319628328	7.235942459678	4.1932920850785	5.03873229085549	6.08464893112439	3.15810772328184
gene11	7.03200565391771	2.73552957006735	3.60280334652784	6.37845427037521	5.57018259940727	4.67745282566899	3.07812256531019	6.20406111052072	5.53998868097297	4.8654191474562
gene12	4.9118517558778	6.48976796540874	6.66068955979552	3.68530778762737	3.95702494491682	4.55216237301523	4.32178220905783	5.72027820052536	3.78691479567626	3.75013438472812
gene13	5.09809329433442	5.3617305008985	4.3293019005121	4.14980296240804	5.25293102214191	4.07766096566179	3.7148941614901	5.47407946848567	5.59703665086902	3.34011347045753
gene14	6.52623246427479	5.2399005249995	6.48643847860494	5.33732209154546	6.62321581320431	4.62220459660469	4.01731819938272	5.51050941550202	3.3035280989398	5.33858818250563
gene15	4.48662735468854	2.78763061437022	5.60825530221002	4.66398596076582	3.27800515980214	5.90504559933808	4.5648408037183	5.34266666777914	5.06908627052271	3.49049333373101
gene16	3.2298054431081	5.60193233414563	5.7259702025922	5.12497956423067	4.68125861277757	5.59370476642733	5.78402922188591	3.47395795256779	5.38359814312916	4.96579361671611
gene17	4.69155679090633	4.57331479388688	5.64174975091368	4.86760492081318	4.12857693353049	5.33060459826336	5.17988246732591	5.20384119143839	3.18567787366993	4.51237029658688
gene18	4.0586433794495	5.1460645998353	4.69032404337755	6.08694584998735	5.68453139944654	5.15888443527289	5.0434114136757	2.97054319573917	4.37786887411865	5.44796649568885
gene19	4.96949518854885	5.84999257741079	4.00689931077598	NA	NA	NA	NA	NA	4.1095670816331	4.21756497764791
gene20	4.34927589458237	5.65969142275959	5.20331700523754	3.89887290200818	3.51638328592067	4.71097881285612	6.04532907493066	5.35461536391376	4.64006816711199	7.20520560706982
